revisited,avg_avg_bitrate,avg_buffer_ratio,avg_buffer_underruns,avg_playtime,avg_startup_time,avg_bitrate,bufferRatio,buffer_underruns,playtime,startup_time,betterBitrate,betterBufferRatio,betterBufferUnderruns,betterPlayTime,betterStartupTime,visitsSameDay
0,2.6769466666666664,0.0,0.0,23.794444444444444,5.918333333333334,2.24261,0.0,0.0,24.133333333333333,4.99,1.0,0.0,0.0,0.0,1.0,1
0,7.269560300970877,3.9116652082579892,0.09223300970873785,34.13365695792878,2.2385242718446605,8.27478,0.0,0.0,14.966666666666667,1.451,1.0,1.0,1.0,0.0,1.0,16
0,0.0,237.64552715273462,0.19685039370078738,2.812860892388451,9.589692913385834,0.0,0.0,0.0,0.03333333333333333,10.966,0.0,0.0,0.0,0.0,1.0,0
0,2.046046254237288,1.5196610169491525,0.01694915254237288,58.21073446327684,3.3310847457627117,1.81708,0.0,0.0,39.25,3.558,1.0,0.0,0.0,0.0,1.0,1
0,1.5426656097560971,0.5497987705918439,0.32926829268292696,23.882317073170725,1.5496707317073164,1.61506,0.0,0.0,70.56666666666666,2.279,0.0,0.0,0.0,1.0,1.0,0
0,0.0,7.184950610060175,0.6722689075630249,24.241946778711515,4.630903361344536,0.0,0.0,0.0,31.133333333333333,7.26,0.0,0.0,0.0,1.0,0.0,2
0,7.169026866666665,0.0,0.0,17.794444444444444,2.6174,7.42968,0.0,0.0,1.9833333333333334,3.625,1.0,0.0,0.0,0.0,0.0,1
0,0.0,5.956603052927978,0.7500000000000001,17.1843537414966,4.087265306122452,0.0,0.0,0.0,16.816666666666666,5.617,0.0,0.0,0.0,1.0,1.0,1
0,0.0,0.43009384004150025,0.1875,36.85208333333333,3.6182500000000006,0.0,0.0,0.0,108.28333333333333,10.809,0.0,0.0,0.0,0.0,0.0,2
0,0.7836066666666667,0.0,0.0,0.8444444444444444,4.078,1.03288,0.0,0.0,0.23333333333333334,3.558,0.0,0.0,0.0,0.0,1.0,0
0,1.8197941974789904,3.8303786097573784,0.037815126050420166,34.977941176470544,3.659995798319326,3.52579,0.0,0.0,68.38333333333334,3.008,1.0,0.0,0.0,1.0,0.0,3
