"revisited","avg_avg_bitrate","avg_buffer_ratio","avg_buffer_underruns","avg_playtime","avg_startup_time","avg_bitrate","bufferRatio","buffer_underruns","playtime","startup_time","betterBitrate","betterBufferRatio","betterBufferUnderruns","betterPlayTime","betterStartupTime","visitsSameDay","user_id"
0,106906.252332011,0.0286540475116048,0.00679174249000421,135.614905534161,343.722802323611,0,0,0,62,0,0,0,0,0,0,0,135431
0,0,0,0,132.25,1976.125,0,0,0,129,2167,0,0,0,0,0,0,131581
0,1188170,24.5608716750366,0.671875,3157.515625,7292.65625,1565640,0,0,5505,11509,0,0,0,0,0,0,111319
0,1375911.25,0,0,64.875,1531.875,1254370,0,0,58,1376,0,0,0,0,0,0,156357
0,0,0,0,2535,2639.25,0,0,0,4997,3271,0,0,0,0,0,0,214506
0,3229340,0.183797030416607,1,6937,1274,3229340,0.183797030416607,1,6937,1274,0,0,0,0,0,0,151373
0,1624000.55712891,4.02129605602585,2.44580078125,1754.36303710938,3147.56762695312,1618530,5.66630136986301,4,1825,4736,0,0,0,0,0,0,76348
0,0,0,0,4601,3975,0,0,0,4601,3975,0,0,0,0,0,0,273363
0,1563023.49128723,0,0,3597.74884605408,2454.16715812683,3270030,0,0,8011,3800,0,0,0,0,0,0,182535
0,1629540,0,0,6455,3735.5,1707420,0,0,2765,830,0,0,0,0,0,0,291966
0,1519698.29903978,22.3798319860486,0.355281207133059,258.876543209877,10246.7256515775,1582040,66.9005847953216,1,171,16093,0,0,0,0,0,0,108919
0,0,0,0,120,4195,0,0,0,120,4195,0,0,0,0,0,0,223591
0,659479.795154917,0.653565451648538,0.110409727777825,233.588406570044,1057.14358167325,0,0,0,12,1031,0,0,0,0,0,0,4588
0,1234051.5,15.6319620253165,1.5,3110,5548.75,1671050,0,0,5317,3123,0,0,0,0,0,0,17340
0,0,0,0,882,2264.5,0,0,0,782,2398,0,0,0,0,0,0,99835
0,3084833.06965402,0.316560342911701,0.297515622618503,2367.31062338058,4810.52522481329,3123730,0,0,2573,2732,0,0,0,0,0,0,282474
0,12396806.6666667,0,0,6787,2143.33333333333,9194020,0,0,7122,2600,0,0,0,0,0,0,85811
0,2568945.59670782,6.17128823951432,0.0931069958847737,3457.45460390947,4137.54501028807,4919300,0,0,9135,2830,0,0,0,0,0,0,198283
0,1649437.18491736,0.627623284221856,1.72933884297521,3499.14359504132,8249.86053719008,1705370,0,0,30,0,0,0,0,0,0,0,30436
0,2662353.6,0,0,3572.52,2267.008,1566040,0,0,57,1972,0,0,0,0,0,0,142869
0,0,23.7188477498363,0.4,1395.32,15731.6,0,0,0,113,2942,0,0,0,0,0,0,94685
0,0,13.0709112876722,5.9482421875,431.082763671875,22463.0329589844,0,8.2111801242236,1,161,23648,0,0,0,0,0,0,257534
0,1443076.66666667,0,0,148,2077.66666666667,1599630,0,0,168,1338,0,0,0,0,0,0,28022
0,1475676.13412059,0.000221387864507271,0.000512832995569454,166.454584677496,2185.69652147469,1594580,0,0,117,2038,0,0,0,0,0,0,95301
0,4556630,0,0,1201.5,5375,7491860,0,0,3,4343,0,0,0,0,0,0,241874
0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,195510
0,1220810,0,0,156,1611,1220810,0,0,156,1611,0,0,0,0,0,0,87855
0,2660179.23735119,0,0,2551.58500744048,3845.37951078869,1631800,0,0,1415,4689,0,0,0,0,0,0,55848
0,903902.5,5.87475442043222,0.75,1994,5462.25,1092880,0,0,2547,4485,0,0,0,0,0,0,210406
0,707110,0,0,3448.5,2188.5,1414220,0,0,6895,4377,0,0,0,0,0,0,227377
0,3030145,0,0,394,9156.5,1551660,0,0,753,18312,0,0,0,0,0,0,86538
0,861019.714584565,37.8939116722637,0.642022049484327,1348.33476448373,18586.7155075954,289624,0,0,465,0,0,0,0,0,0,0,244499
0,1445820,0,0,8664,5538,1445820,0,0,8664,5538,0,0,0,0,0,0,186296
