revisited,avg_avg_bitrate,avg_buffer_ratio,avg_buffer_underruns,avg_playtime,avg_startup_time,avg_bitrate,bufferRatio,buffer_underruns,playtime,startup_time,betterBitrate,betterBufferRatio,betterBufferUnderruns,betterPlayTime,betterStartupTime,visitsSameDay
0,5.669688,0.0,0.0,43.3,3.371,12.0704,0.0,0.0,95.26666666666667,1.263,1.0,0.0,0.0,0.0,1.0,1
0,0.33199928333333334,3.317475127032636,0.17916666666666664,17.851666666666695,3.5204875000000007,0.0,0.0,0.0,0.5333333333333333,3.073,0.0,0.0,0.0,1.0,1.0,0
0,1.100187304347826,0.3921369331863173,0.21739130434782608,33.70507246376811,9.0474347826087,1.482,0.0,0.0,52.95,4.813,0.0,0.0,0.0,1.0,0.0,0
0,1.956536988047808,14.47081505611789,0.3227091633466134,31.00790172642763,4.241609561752989,3.38907,0.0,0.0,33.166666666666664,3.3,1.0,0.0,0.0,1.0,1.0,5
0,1.347901414414416,2.315361269519842,1.8603603603603598,37.80435435435444,3.400207207207209,1.62134,0.0,0.0,23.383333333333333,4.741,1.0,1.0,1.0,0.0,0.0,2
0,1.729882653061225,0.9546011091714866,0.3673469387755102,74.79421768707478,5.856204081632655,1.63032,0.0,0.0,106.88333333333334,12.274,0.0,0.0,0.0,1.0,0.0,0
0,1.5108314482758618,5.934006428396314,0.6724137931034484,26.195977011494243,2.9740000000000006,1.64301,0.6382265275707899,1.0,44.733333333333334,1.86,0.0,0.0,0.0,1.0,1.0,5
0,1.6385178421052637,3.236488418404364,0.8421052631578948,40.35460526315788,4.4945,1.61862,0.0,0.0,79.15,3.095,0.0,0.0,0.0,1.0,0.0,0
0,2.1301328560606048,24.285632412339947,1.2121212121212128,46.87853535353533,4.386916666666664,2.51482,0.0,0.0,87.65,3.017,0.0,0.0,0.0,0.0,1.0,2
0,0.9927754054054054,24.292795474425592,0.8378378378378379,27.506756756756758,4.000675675675676,1.53701,19.38645418326693,7.0,29.283333333333335,6.513,0.0,0.0,0.0,0.0,0.0,0
0,2.136995036269691,4.404756356682653,0.38877139300657615,35.47615966896911,5.343596705990264,1.49884,0.0,0.0,111.68333333333334,2.143,0.0,0.0,0.0,1.0,0.0,125
0,0.0,0.0,0.0,42.231292517006786,2.2189183673469377,0.0,0.0,0.0,43.1,2.22,0.0,0.0,0.0,1.0,0.0,2
0,2.1588434634146347,1.1077672379146934,0.1707317073170732,12.028455284552845,2.273097560975609,5.41912,0.0,0.0,5.85,1.937,1.0,1.0,1.0,1.0,0.0,0
0,1.62818,0.0,0.0,130.63333333333333,1.485,1.62818,0.0,0.0,130.63333333333333,1.485,0.0,0.0,0.0,0.0,0.0,0
0,1.765753479452055,8.2104971318953,1.520547945205479,33.83242009132422,3.7357534246575326,0.183968,0.0,0.0,0.2833333333333333,5.891,0.0,0.0,0.0,0.0,0.0,0
0,1.61166,0.0,0.0,2.066666666666667,3.504,1.61166,0.0,0.0,2.066666666666667,3.504,0.0,0.0,0.0,0.0,0.0,0
0,0.030196320754716996,4.225689840729163,0.09433962264150941,3.316509433962264,4.42960377358491,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,0
0,1.641108466666667,3.642598261302673,0.16666666666666669,28.943888888888875,4.57007777777778,2.32641,0.0,0.0,61.43333333333333,9.722,1.0,0.0,0.0,1.0,0.0,1
0,0.8792804838709679,0.0,0.0,36.34623655913979,2.1584677419354827,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2
0,0.0,7.239230293366376,0.7719298245614032,18.534210526315793,4.8101578947368395,0.0,2.79421261798311,4.0,134.2,0.0,0.0,0.0,0.0,1.0,1.0,4
0,0.959086,0.0,0.0,35.27444444444445,1.589,0.0,0.0,0.0,1.4333333333333333,1.752,0.0,0.0,0.0,0.0,0.0,0
0,1.5398431428571429,1.5945708656176192,0.48214285714285726,21.652380952380962,2.8857678571428576,1.2308,0.0,0.0,2.033333333333333,1.372,0.0,0.0,0.0,0.0,1.0,1
0,0.0,0.0,0.0,26.421505376344083,3.312467741935483,0.0,0.0,0.0,40.78333333333333,3.508,0.0,0.0,0.0,1.0,0.0,0
0,0.0,0.0,0.0,31.29193548387097,3.8405161290322583,0.0,0.0,0.0,33.016666666666666,3.869,0.0,0.0,0.0,0.0,0.0,0
0,3.0116206603773588,1.4379240582047044,0.18867924528301888,29.969182389937103,4.124830188679245,1.93453,0.0,0.0,28.4,4.002,0.0,0.0,0.0,1.0,0.0,0
0,2.4849322735849073,0.5971800044844425,0.29245283018867946,90.6927672955975,5.105169811320752,1.69775,0.0,0.0,90.51666666666667,7.445,0.0,0.0,0.0,1.0,0.0,1
0,1.462054677966102,1.8512005175930686,9.440677966101699,42.63305084745761,2.9327118644067793,1.55955,0.0,0.0,28.25,2.976,0.0,1.0,1.0,0.0,1.0,0
0,42.93053076923078,0.0,0.0,36.33846153846154,1.7239230769230771,47.3903,0.0,0.0,66.16666666666667,0.977,1.0,0.0,0.0,1.0,1.0,2
0,1.56988465079365,0.05231201198316888,0.3015873015873017,26.57010582010581,4.149349206349209,1.60329,0.0,0.0,96.73333333333333,5.522,0.0,0.0,0.0,0.0,0.0,1
0,0.0,0.057892465399641685,0.4375,14.438541666666667,2.6221874999999994,0.0,0.0,0.0,1.8,7.056,0.0,0.0,0.0,0.0,0.0,1
0,5.613939949771693,2.107390598512313,0.06392694063926946,20.146575342465756,2.1454337899543376,0.0,0.0,0.0,22.383333333333333,0.032,0.0,0.0,0.0,0.0,1.0,10
0,1.5935333999999999,4.785620585267407,0.5,73.825,4.6484,1.71633,0.0,0.0,125.46666666666667,3.392,1.0,0.0,0.0,1.0,1.0,0
0,1.4887683561643834,5.021059418207664,0.21917808219178087,13.827168949771682,4.358986301369863,1.63042,0.0,0.0,103.48333333333333,10.736,0.0,1.0,1.0,1.0,0.0,0
0,11.206898730158727,5.200673867252504,0.21693121693121703,37.74162257495592,2.063767195767195,8.66987,0.0,0.0,19.05,1.812,0.0,0.0,0.0,1.0,1.0,1
0,0.0,1.9789279869067107,0.02127659574468085,20.146808510638298,3.499127659574468,0.0,0.0,0.0,1.9833333333333334,2.24,0.0,0.0,0.0,0.0,1.0,1
0,1.763433,0.0,0.0,12.155000000000001,2.1167000000000002,1.6232,0.0,0.0,2.3333333333333335,1.332,0.0,0.0,0.0,0.0,1.0,2
